pl_rade,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_insol,st_teff,st_rad,st_mass,habitable
2.91575244,10.5,0.083,0.0,115.6,5513.0,0.9598,0.9406,0
3.06451296,11.1,0.148,0.0,36.7,5513.0,0.9598,0.9406,0
2.884,10.48,0.131,0.03,111.9729,6252.6,1.22,1.2,0
2.79,10.2,0.0604,0.09,43.3,4511.0,0.65,0.73,0
2.39,9.7,0.1242,0.08,10.2,4511.0,0.65,0.73,0
5.12,23.0,0.121,0.1,123.0,5783.0,1.333,1.039,0
14.0,126.0,4.5,0.2,0.088,5783.0,1.333,1.039,0
2.89646124,10.9,0.073,0.211,414.0679,6007.0,1.3174,1.1973,0
2.4,6.3566,0.06,0.06,113.7,5131.0,0.78,0.65,0
2.72,7.86,0.1134,0.098,28.35,5075.0,0.7821,0.832,0
2.42,6.44,0.1551,0.21,15.17,5075.0,0.7821,0.832,0
1.613,5.72,0.01661,0.0,6130.0,5959.0,1.22,1.18,0
12.8,1609.80088146,2.905,0.924,0.142,5837.0,1.062,1.06,0
2.16,7.25,0.049,0.075,647.901,5863.0,1.053,1.019,0
7.39794,34.9613,0.1066,0.22,275.6427,5576.0,1.747,1.157,0
1.46954368,2.8,0.02061,0.0,2898.0,5908.0,1.0311,1.0844,0
3.11976057,18.4,0.04726,0.0,543.8,5908.0,1.0311,1.0844,0
14.2,169.0,3.48,0.39,0.271,5631.0,1.903,1.2,0
3.89,42.44,0.262,0.197,7.42,5212.0,0.87,0.83,0
12.8,1913.64483855,3.166,0.049,0.1,5722.0,1.088,1.01,0
2.12,8.3,0.0805,0.05,41.924,5212.0,0.728,0.85,0
2.4,6.35,0.10479,0.17,180.487,4930.0,0.742,0.761,0
2.469,9.7,0.0792,0.215,51.2858,5048.0,0.758,0.8,0
13.3,762.7881768,4.0,0.03,0.0143,4799.0,0.66,0.8,0
22.75427,1021.18779,0.01782,0.0,661.0,4590.0,0.7242,0.781,0
9.9872018,71.4,0.0748,0.064,341.0878,5675.0,1.38,1.22,0
2.53625843,8.9,0.093,0.0,88.9,5618.0,0.9603,0.9373,0
2.52442508,10.7,0.139,0.2,39.9,5618.0,0.9603,0.9373,0
3.0,379.0,0.0787,0.32,219.2841,5991.0,1.08,1.094,0
3.82838127,8.3,0.145,0.0,40.3,5649.0,0.9593,0.942,0
3.42855926,7.0,0.269,0.0,11.7,5649.0,0.9593,0.942,0
2.4801338,19.1,0.091,0.29,25.0029,5216.0,0.8418,0.9342,0
2.2,5.46,0.1417,0.079,0.503,3347.0,0.299,0.291,1
2.004,3.55,0.04888,0.0,989.7,6354.0,1.258,1.204,0
1.979,3.8,0.0687,0.0,512.0,6354.0,1.258,1.204,0
2.001,7.1,0.1046,0.0,217.0,6354.0,1.258,1.204,0
3.84,27.0,0.137,0.31,54.1,5620.0,0.98,0.92,0
3.88,21.8,0.0301,0.0,1915.0,5945.0,1.24,1.15,0
1.79,3.86,0.0242,0.09,62.1,3712.0,0.48,0.51,0
3.59,30.0,0.0833,0.0,140.125,5636.0,0.97,1.05,0
5.33,59.4,0.0581,0.18,762.0,5599.0,1.76,1.17,0
2.592,15.9,0.10207,0.13,27.7,5010.0,0.713,0.738,0
1.82,5.58,0.0565,0.1,490.0,5775.0,1.25,0.84,0
12.14,410.0007,0.0642,0.0,277.39,5660.0,1.24,1.04,0
10.59248676,638.83509807,0.0944,0.079,40.0,4899.0,0.832,0.863,0
11.80305668,321.00669107,0.1415,0.063,20.4393,5870.0,0.855,0.918,0
0.69,0.257,0.048,0.06,78.6,4348.35,0.6694,0.694512,0
2.03,4.78,0.0189,0.06,145.8,3778.0,0.51,0.54,0
2.06,4.9,0.0492,0.15,21.4,3778.0,0.51,0.54,0
2.54,6.99,0.245,0.2,4.3,4726.29,0.734626,0.756446,0
2.53,6.94,0.0698,0.07,54.9,4740.0,0.71,0.76,0
2.44,5.2,0.0792,0.5,185.0,5672.0,1.117,0.965,0
7.52,44.1,0.0629,0.22,89.5,4690.0,0.67,0.69,0
1.16,1.65,0.0373,0.21,79.9,4009.0,0.59,0.63,0
